2026-04-06 23:04:49,175 | INFO     | data.markets | Fetched 16300 markets so far...
2026-04-06 23:04:50,043 | INFO     | data.markets | Fetched 16400 markets so far...
2026-04-06 23:04:50,854 | INFO     | data.markets | Fetched 16500 markets so far...
2026-04-06 23:04:51,755 | INFO     | data.markets | Fetched 16600 markets so far...
2026-04-06 23:04:52,564 | INFO     | data.markets | Fetched 16700 markets so far...
2026-04-06 23:04:53,362 | INFO     | data.markets | Fetched 16800 markets so far...
2026-04-06 23:04:54,181 | INFO     | data.markets | Fetched 16900 markets so far...
2026-04-06 23:04:55,010 | INFO     | data.markets | Fetched 17000 markets so far...
2026-04-06 23:04:56,078 | INFO     | data.markets | Fetched 17100 markets so far...
2026-04-06 23:04:57,064 | INFO     | data.markets | Fetched 17200 markets so far...
2026-04-06 23:04:58,011 | INFO     | data.markets | Fetched 17300 markets so far...
2026-04-06 23:04:58,853 | INFO     | data.markets | Fetched 17400 markets so far...
2026-04-06 23:04:59,757 | INFO     | data.markets | Fetched 17500 markets so far...
2026-04-06 23:05:00,510 | INFO     | data.markets | Fetched 17600 markets so far...
2026-04-06 23:05:01,206 | INFO     | data.markets | Fetched 17700 markets so far...
2026-04-06 23:05:02,032 | INFO     | data.markets | Fetched 17800 markets so far...
2026-04-06 23:05:02,806 | INFO     | data.markets | Fetched 17900 markets so far...
2026-04-06 23:05:03,582 | INFO     | data.markets | Fetched 18000 markets so far...
2026-04-06 23:05:04,323 | INFO     | data.markets | Fetched 18100 markets so far...
2026-04-06 23:05:05,231 | INFO     | data.markets | Fetched 18200 markets so far...
2026-04-06 23:05:05,996 | INFO     | data.markets | Fetched 18300 markets so far...
2026-04-06 23:05:06,891 | INFO     | data.markets | Fetched 18400 markets so far...
2026-04-06 23:05:07,704 | INFO     | data.markets | Fetched 18500 markets so far...
2026-04-06 23:05:08,557 | INFO     | data.markets | Fetched 18600 markets so far...
2026-04-06 23:05:09,266 | INFO     | data.markets | Fetched 18700 markets so far...
2026-04-06 23:05:10,173 | INFO     | data.markets | Fetched 18800 markets so far...
2026-04-06 23:05:11,154 | INFO     | data.markets | Fetched 18900 markets so far...
2026-04-06 23:05:12,082 | INFO     | data.markets | Fetched 19000 markets so far...
2026-04-06 23:05:12,888 | INFO     | data.markets | Fetched 19100 markets so far...
2026-04-06 23:05:13,773 | INFO     | data.markets | Fetched 19200 markets so far...
2026-04-06 23:05:14,647 | INFO     | data.markets | Fetched 19300 markets so far...
2026-04-06 23:05:15,805 | INFO     | data.markets | Fetched 19400 markets so far...
2026-04-06 23:05:16,672 | INFO     | data.markets | Fetched 19500 markets so far...
2026-04-06 23:05:17,527 | INFO     | data.markets | Fetched 19600 markets so far...
2026-04-06 23:05:18,464 | INFO     | data.markets | Fetched 19700 markets so far...
2026-04-06 23:05:19,438 | INFO     | data.markets | Fetched 19800 markets so far...
2026-04-06 23:05:20,365 | INFO     | data.markets | Fetched 19900 markets so far...
2026-04-06 23:05:21,281 | INFO     | data.markets | Fetched 20000 markets so far...
2026-04-06 23:05:22,155 | INFO     | data.markets | Fetched 20100 markets so far...
2026-04-06 23:05:22,962 | INFO     | data.markets | Fetched 20200 markets so far...
2026-04-06 23:05:23,691 | INFO     | data.markets | Fetched 20300 markets so far...
2026-04-06 23:05:24,440 | INFO     | data.markets | Fetched 20400 markets so far...
2026-04-06 23:05:25,219 | INFO     | data.markets | Fetched 20500 markets so far...
2026-04-06 23:05:25,957 | INFO     | data.markets | Fetched 20600 markets so far...
2026-04-06 23:05:26,737 | INFO     | data.markets | Fetched 20700 markets so far...
2026-04-06 23:05:27,588 | INFO     | data.markets | Fetched 20800 markets so far...
2026-04-06 23:05:28,396 | INFO     | data.markets | Fetched 20900 markets so far...
2026-04-06 23:05:29,236 | INFO     | data.markets | Fetched 21000 markets so far...
2026-04-06 23:05:30,143 | INFO     | data.markets | Fetched 21100 markets so far...
2026-04-06 23:05:30,956 | INFO     | data.markets | Fetched 21200 markets so far...
2026-04-06 23:05:31,934 | INFO     | data.markets | Fetched 21300 markets so far...
2026-04-06 23:05:32,877 | INFO     | data.markets | Fetched 21400 markets so far...
2026-04-06 23:05:33,863 | INFO     | data.markets | Fetched 21500 markets so far...
2026-04-06 23:05:34,777 | INFO     | data.markets | Fetched 21600 markets so far...
2026-04-06 23:05:35,609 | INFO     | data.markets | Fetched 21700 markets so far...
2026-04-06 23:05:36,372 | INFO     | data.markets | Fetched 21800 markets so far...
2026-04-06 23:05:37,272 | INFO     | data.markets | Fetched 21900 markets so far...
2026-04-06 23:05:38,026 | INFO     | data.markets | Fetched 22000 markets so far...
2026-04-06 23:05:38,867 | INFO     | data.markets | Fetched 22100 markets so far...
2026-04-06 23:05:39,903 | INFO     | data.markets | Fetched 22200 markets so far...
2026-04-06 23:05:40,631 | INFO     | data.markets | Fetched 22300 markets so far...
2026-04-06 23:05:41,504 | INFO     | data.markets | Fetched 22400 markets so far...
2026-04-06 23:05:42,322 | INFO     | data.markets | Fetched 22500 markets so far...
2026-04-06 23:05:43,097 | INFO     | data.markets | Fetched 22600 markets so far...
2026-04-06 23:05:43,811 | INFO     | data.markets | Fetched 22700 markets so far...
2026-04-06 23:05:44,559 | INFO     | data.markets | Fetched 22800 markets so far...
2026-04-06 23:05:45,280 | INFO     | data.markets | Fetched 22900 markets so far...
2026-04-06 23:05:46,149 | INFO     | data.markets | Fetched 23000 markets so far...
2026-04-06 23:05:47,854 | INFO     | data.markets | Fetched 23100 markets so far...
2026-04-06 23:05:48,710 | INFO     | data.markets | Fetched 23200 markets so far...
2026-04-06 23:05:49,615 | INFO     | data.markets | Fetched 23300 markets so far...
2026-04-06 23:05:50,435 | INFO     | data.markets | Fetched 23400 markets so far...
2026-04-06 23:05:51,408 | INFO     | data.markets | Fetched 23500 markets so far...
2026-04-06 23:05:52,358 | INFO     | data.markets | Fetched 23600 markets so far...
2026-04-06 23:05:53,339 | INFO     | data.markets | Fetched 23700 markets so far...
